Zod_sign_man,Zod_sign_woman,zod_combo,Compatibility_rate
Sagittarius,Leo,SagittariusLeo,0.93
Pisces,Aries,PiscesAries,0.67
Scorpio,Libra,ScorpioLibra,0.35
Aries,Gemini,AriesGemini,0.83
Sagittarius,Aries,SagittariusAries,0.93
Aquarius,Virgo,AquariusVirgo,0.3
Aquarius,Pisces,AquariusPisces,0.45
Scorpio,Pisces,ScorpioPisces,0.97
Aries,Aquarius,AriesAquarius,0.78
Scorpio,Taurus,ScorpioTaurus,0.88
Virgo,Aquarius,VirgoAquarius,0.3
Aquarius,Taurus,AquariusTaurus,0.58
Virgo,Aquarius,VirgoAquarius,0.3
Virgo,Taurus,VirgoTaurus,0.9
Aries,Libra,AriesLibra,0.85
Virgo,Gemini,VirgoGemini,0.68
Cancer,Pisces,CancerPisces,0.98
Pisces,Aries,PiscesAries,0.67
Leo,Scorpio,LeoScorpio,0.58
Pisces,Leo,PiscesLeo,0.38
Pisces,Cancer,PiscesCancer,0.98
Libra,Taurus,LibraTaurus,0.65
Taurus,Virgo,TaurusVirgo,0.9
Gemini,Leo,GeminiLeo,0.88
Virgo,Aries,VirgoAries,0.63
Gemini,Cancer,GeminiCancer,0.65
Libra,Gemini,LibraGemini,0.93
Virgo,Aquarius,VirgoAquarius,0.3
Leo,Aquarius,LeoAquarius,0.69
Virgo,Cancer,VirgoCancer,0.9
Sagittarius,Cancer,SagittariusCancer,0.53
Capricorn,Aquarius,CapricornAquarius,0.69
Aquarius,Sagittarius,AquariusSagittarius,0.9
Scorpio,Scorpio,ScorpioScorpio,0.8
Pisces,Capricorn,PiscesCapricorn,0.88
Libra,Sagittarius,LibraSagittarius,0.73
Aries,Cancer,AriesCancer,0.42
Capricorn,Pisces,CapricornPisces,0.88
Cancer,Virgo,CancerVirgo,0.9
Gemini,Scorpio,GeminiScorpio,0.28
Virgo,Virgo,VirgoVirgo,0.65
Aries,Libra,AriesLibra,0.85
Pisces,Scorpio,PiscesScorpio,0.97
Capricorn,Pisces,CapricornPisces,0.88
Aries,Gemini,AriesGemini,0.83
Leo,Virgo,LeoVirgo,0.35
Cancer,Aquarius,CancerAquarius,0.27
Virgo,Cancer,VirgoCancer,0.9
Gemini,Sagittarius,GeminiSagittarius,0.6
Sagittarius,Capricorn,SagittariusCapricorn,0.6
Aquarius,Cancer,AquariusCancer,0.27
Libra,Gemini,LibraGemini,0.93
Taurus,Pisces,TaurusPisces,0.85
Libra,Cancer,LibraCancer,0.43
Pisces,Capricorn,PiscesCapricorn,0.88
Aries,Aries,AriesAries,0.5
Leo,Taurus,LeoTaurus,0.73
Pisces,Gemini,PiscesGemini,0.53
Cancer,Sagittarius,CancerSagittarius,0.53
Aquarius,Pisces,AquariusPisces,0.45
Gemini,Taurus,GeminiTaurus,0.33
Aquarius,Aries,AquariusAries,0.78
Gemini,Taurus,GeminiTaurus,0.33
Aquarius,Pisces,AquariusPisces,0.45
Scorpio,Virgo,ScorpioVirgo,0.88
Gemini,Taurus,GeminiTaurus,0.33
Aries,Cancer,AriesCancer,0.42
Aquarius,Capricorn,AquariusCapricorn,0.69
Taurus,Libra,TaurusLibra,0.65
Leo,Virgo,LeoVirgo,0.35
Aquarius,Leo,AquariusLeo,0.68
Pisces,Cancer,PiscesCancer,0.98
Capricorn,Gemini,CapricornGemini,0.68
Pisces,Aries,PiscesAries,0.67
Capricorn,Pisces,CapricornPisces,0.88
Virgo,Scorpio,VirgoScorpio,0.88
Leo,Libra,LeoLibra,0.97
Sagittarius,Cancer,SagittariusCancer,0.53
Leo,Gemini,LeoGemini,0.88
Aries,Sagittarius,AriesSagittarius,0.93
Sagittarius,Sagittarius,SagittariusSagittarius,0.45
Gemini,Cancer,GeminiCancer,0.65
Virgo,Aries,VirgoAries,0.63
Aquarius,Aries,AquariusAries,0.78
Scorpio,Scorpio,ScorpioScorpio,0.8
Sagittarius,Cancer,SagittariusCancer,0.53
Aquarius,Virgo,AquariusVirgo,0.3
