,zodiac1,zodiac2,bad_match,Compatibility_rate
0,Aries,Aries,0,50.0
1,Aries,Taurus,1,38.0
2,Aries,Gemini,0,83.0
3,Aries,Cancer,0,42.0
4,Aries,Leo,0,97.0
5,Aries,Virgo,0,63.0
6,Aries,Libra,0,85.0
7,Aries,Scorpio,0,50.0
8,Aries,Sagittarius,0,93.0
9,Aries,Capricorn,0,47.0
10,Aries,Aquarius,0,78.0
11,Aries,Pisces,0,67.0
12,Taurus,Aries,1,38.0
13,Taurus,Taurus,1,57.99999999999999
14,Taurus,Gemini,1,33.0
15,Taurus,Cancer,1,97.0
16,Taurus,Leo,1,73.0
17,Taurus,Virgo,1,90.0
18,Taurus,Libra,1,65.0
19,Taurus,Scorpio,1,88.0
20,Taurus,Sagittarius,1,30.0
21,Taurus,Capricorn,1,98.0
22,Taurus,Aquarius,1,57.99999999999999
23,Taurus,Pisces,1,85.0
24,Gemini,Aries,0,83.0
25,Gemini,Taurus,1,33.0
26,Gemini,Gemini,0,60.0
27,Gemini,Cancer,1,65.0
28,Gemini,Leo,1,88.0
29,Gemini,Virgo,0,68.0
30,Gemini,Libra,0,93.0
31,Gemini,Scorpio,0,28.000000000000004
32,Gemini,Sagittarius,1,60.0
33,Gemini,Capricorn,0,69.0
34,Gemini,Aquarius,0,85.0
35,Gemini,Pisces,1,53.0
36,Cancer,Aries,0,42.0
37,Cancer,Taurus,1,97.0
38,Cancer,Gemini,1,65.0
39,Cancer,Cancer,1,75.0
40,Cancer,Leo,1,35.0
41,Cancer,Virgo,1,90.0
42,Cancer,Libra,1,43.0
43,Cancer,Scorpio,1,94.0
44,Cancer,Sagittarius,1,53.0
45,Cancer,Capricorn,1,83.0
46,Cancer,Aquarius,1,27.0
47,Cancer,Pisces,1,98.0
48,Leo,Aries,0,97.0
49,Leo,Taurus,1,73.0
50,Leo,Gemini,1,88.0
51,Leo,Cancer,1,35.0
52,Leo,Leo,1,45.0
53,Leo,Virgo,1,35.0
54,Leo,Libra,0,97.0
55,Leo,Scorpio,1,57.99999999999999
56,Leo,Sagittarius,1,93.0
57,Leo,Capricorn,0,35.0
58,Leo,Aquarius,1,69.0
59,Leo,Pisces,1,38.0
60,Virgo,Aries,0,63.0
61,Virgo,Taurus,1,90.0
62,Virgo,Gemini,0,68.0
63,Virgo,Cancer,1,90.0
64,Virgo,Leo,1,35.0
65,Virgo,Virgo,0,65.0
66,Virgo,Libra,0,69.0
67,Virgo,Scorpio,0,88.0
68,Virgo,Sagittarius,1,48.0
69,Virgo,Capricorn,0,95.0
70,Virgo,Aquarius,0,30.0
71,Virgo,Pisces,0,88.0
72,Libra,Aries,0,85.0
73,Libra,Taurus,1,65.0
74,Libra,Gemini,0,93.0
75,Libra,Cancer,1,43.0
76,Libra,Leo,0,97.0
77,Libra,Virgo,0,68.0
78,Libra,Libra,0,75.0
79,Libra,Scorpio,0,35.0
80,Libra,Sagittarius,0,73.0
81,Libra,Capricorn,0,55.00000000000001
82,Libra,Aquarius,0,90.0
83,Libra,Pisces,0,88.0
84,Scorpio,Aries,0,50.0
85,Scorpio,Taurus,1,88.0
86,Scorpio,Gemini,0,28.000000000000004
87,Scorpio,Cancer,1,94.0
88,Scorpio,Leo,1,57.99999999999999
89,Scorpio,Virgo,0,88.0
90,Scorpio,Libra,0,35.0
91,Scorpio,Scorpio,0,80.0
92,Scorpio,Sagittarius,1,28.000000000000004
93,Scorpio,Capricorn,0,95.0
94,Scorpio,Aquarius,0,73.0
95,Scorpio,Pisces,1,97.0
96,Sagittarius,Aries,0,93.0
97,Sagittarius,Taurus,1,30.0
98,Sagittarius,Gemini,1,60.0
99,Sagittarius,Cancer,1,53.0
100,Sagittarius,Leo,1,93.0
101,Sagittarius,Virgo,1,48.0
102,Sagittarius,Libra,0,73.0
103,Sagittarius,Scorpio,1,28.000000000000004
104,Sagittarius,Sagittarius,1,45.0
105,Sagittarius,Capricorn,0,60.0
106,Sagittarius,Aquarius,1,90.0
107,Sagittarius,Pisces,1,63.0
108,Capricorn,Aries,0,47.0
109,Capricorn,Taurus,1,98.0
110,Capricorn,Gemini,0,68.0
111,Capricorn,Cancer,1,83.0
112,Capricorn,Leo,0,35.0
113,Capricorn,Virgo,0,95.0
114,Capricorn,Libra,0,55.00000000000001
115,Capricorn,Scorpio,0,95.0
116,Capricorn,Sagittarius,0,60.0
117,Capricorn,Capricorn,0,75.0
118,Capricorn,Aquarius,0,69.0
119,Capricorn,Pisces,0,88.0
120,Aquarius,Aries,0,78.0
121,Aquarius,Taurus,1,57.99999999999999
122,Aquarius,Gemini,0,85.0
123,Aquarius,Cancer,1,27.0
124,Aquarius,Leo,1,68.0
125,Aquarius,Virgo,0,30.0
126,Aquarius,Libra,0,90.0
127,Aquarius,Scorpio,0,73.0
128,Aquarius,Sagittarius,1,90.0
129,Aquarius,Capricorn,0,69.0
130,Aquarius,Aquarius,0,45.0
131,Aquarius,Pisces,0,45.0
132,Pisces,Aries,0,67.0
133,Pisces,Taurus,1,85.0
134,Pisces,Gemini,1,53.0
135,Pisces,Cancer,1,98.0
136,Pisces,Leo,1,38.0
137,Pisces,Virgo,0,88.0
138,Pisces,Libra,0,88.0
139,Pisces,Scorpio,1,97.0
140,Pisces,Sagittarius,1,63.0
141,Pisces,Capricorn,0,88.0
142,Pisces,Aquarius,0,45.0
143,Pisces,Pisces,1,60.0
