Zodiac_combination,Compatibility_rate
CancerPisces,0.98
TaurusGemini,0.33
VirgoPisces,0.88
PiscesAries,0.67
CancerAquarius,0.27
GeminiLeo,0.88
LeoTaurus,0.73
CapricornPisces,0.88
ScorpioLibra,0.35
TaurusPisces,0.85
LibraTaurus,0.65
TaurusVirgo,0.9
SagittariusAries,0.93
CancerVirgo,0.9
VirgoVirgo,0.65
VirgoGemini,0.68
CancerLibra,0.43
SagittariusSagittarius,0.45
TaurusScorpio,0.88
ScorpioTaurus,0.88
GeminiLibra,0.93
TaurusLibra,0.65
AriesAquarius,0.78
LibraLibra,0.75
SagittariusLibra,0.73
LibraVirgo,0.68
SagittariusAquarius,0.9
ScorpioAries,0.5
AriesLeo,0.97
CancerCancer,0.75
TaurusSagittarius,0.3
AquariusAquarius,0.45
LeoGemini,0.88
CancerScorpio,0.94
PiscesLibra,0.88
AquariusAries,0.78
LeoVirgo,0.35
VirgoAries,0.63
AquariusScorpio,0.73
GeminiVirgo,0.68
SagittariusVirgo,0.48
VirgoCancer,0.9
CapricornSagittarius,0.6
SagittariusCancer,0.53
ScorpioScorpio,0.8
PiscesSagittarius,0.63
PiscesTaurus,0.85
ScorpioPisces,0.97
CancerAries,0.42
PiscesPisces,0.6
CapricornAries,0.47
PiscesCapricorn,0.88
ScorpioAquarius,0.73
TaurusLeo,0.73
AriesLibra,0.85
ScorpioVirgo,0.88
LibraPisces,0.88
AquariusTaurus,0.58
AquariusLeo,0.68
CancerSagittarius,0.53
GeminiScorpio,0.28
PiscesScorpio,0.97
SagittariusTaurus,0.3
VirgoAquarius,0.3
AquariusGemini,0.85
LeoLibra,0.97
CapricornLeo,0.35
VirgoLeo,0.35
CancerLeo,0.35
TaurusAries,0.38
CapricornGemini,0.68
ScorpioCapricorn,0.95
TaurusCapricorn,0.98
GeminiTaurus,0.33
GeminiGemini,0.6
AriesTaurus,0.38
VirgoScorpio,0.88
TaurusCancer,0.97
VirgoSagittarius,0.48
LibraScorpio,0.35
GeminiAries,0.83
LibraCancer,0.43
GeminiAquarius,0.85
LeoSagittarius,0.93
LibraAquarius,0.9
CapricornCancer,0.83
AriesGemini,0.83
LibraGemini,0.93
AquariusVirgo,0.3
VirgoLibra,0.69
LibraAries,0.85
ScorpioSagittarius,0.28
GeminiCapricorn,0.69
PiscesCancer,0.98
LeoLeo,0.45
AriesSagittarius,0.93
LeoCancer,0.35
LeoPisces,0.38
AquariusCancer,0.27
CapricornCapricorn,0.75
PiscesVirgo,0.88
AriesCapricorn,0.47
LeoScorpio,0.58
ScorpioLeo,0.58
SagittariusScorpio,0.28
AriesVirgo,0.63
VirgoTaurus,0.9
CapricornScorpio,0.95
SagittariusCapricorn,0.6
AquariusCapricorn,0.69
TaurusTaurus,0.58
AquariusSagittarius,0.9
LibraSagittarius,0.73
SagittariusGemini,0.6
CapricornAquarius,0.69
LibraLeo,0.97
CapricornVirgo,0.95
PiscesGemini,0.53
PiscesAquarius,0.45
PiscesLeo,0.38
SagittariusLeo,0.93
AriesCancer,0.42
CapricornTaurus,0.98
GeminiPisces,0.53
LeoAries,0.97
LeoAquarius,0.69
ScorpioGemini,0.28
CancerTaurus,0.97
SagittariusPisces,0.63
AriesPisces,0.67
AquariusPisces,0.45
AriesScorpio,0.5
TaurusAquarius,0.58
AriesAries,0.5
ScorpioCancer,0.94
AquariusLibra,0.9
GeminiSagittarius,0.6
GeminiCancer,0.65
CancerGemini,0.65
CancerCapricorn,0.83
LibraCapricorn,0.55
LeoCapricorn,0.35
VirgoCapricorn,0.95
CapricornLibra,0.55
