,Zod_sign_man,Zod_sign_woman,zod_combo,Compatibility_rate,Compatibility
0,Sagittarius,Leo,SagittariusLeo,93%,Good_fit
2,Pisces,Aries,PiscesAries,67%,Bad_fit
4,Scorpio,Libra,ScorpioLibra,35%,Bad_fit
5,Aries,Gemini,AriesGemini,83%,Good_fit
6,Sagittarius,Aries,SagittariusAries,93%,Good_fit
7,Aquarius,Virgo,AquariusVirgo,30%,Bad_fit
8,Aquarius,Pisces,AquariusPisces,45%,Bad_fit
9,Scorpio,Pisces,ScorpioPisces,97%,Good_fit
10,Aries,Aquarius,AriesAquarius,78%,Good_fit
11,Scorpio,Taurus,ScorpioTaurus,88%,Good_fit
12,Virgo,Aquarius,VirgoAquarius,30%,Bad_fit
13,Aquarius,Taurus,AquariusTaurus,58%,Bad_fit
14,Virgo,Aquarius,VirgoAquarius,30%,Bad_fit
15,Virgo,Taurus,VirgoTaurus,90%,Good_fit
17,Aries,Libra,AriesLibra,85%,Good_fit
18,Virgo,Gemini,VirgoGemini,68%,Bad_fit
19,Cancer,Pisces,CancerPisces,98%,Good_fit
20,Pisces,Aries,PiscesAries,67%,Bad_fit
21,Leo,Scorpio,LeoScorpio,58%,Bad_fit
22,Pisces,Leo,PiscesLeo,38%,Bad_fit
24,Pisces,Cancer,PiscesCancer,98%,Good_fit
25,Libra,Taurus,LibraTaurus,65%,Bad_fit
26,Taurus,Virgo,TaurusVirgo,90%,Good_fit
27,Gemini,Leo,GeminiLeo,88%,Good_fit
28,Virgo,Aries,VirgoAries,63%,Bad_fit
29,Gemini,Cancer,GeminiCancer,65%,Bad_fit
30,Libra,Gemini,LibraGemini,93%,Good_fit
31,Virgo,Aquarius,VirgoAquarius,30%,Bad_fit
32,Leo,Aquarius,LeoAquarius,69%,Bad_fit
33,Virgo,Cancer,VirgoCancer,90%,Good_fit
34,Sagittarius,Cancer,SagittariusCancer,53%,Bad_fit
35,Capricorn,Aquarius,CapricornAquarius,69%,Bad_fit
36,Aquarius,Sagittarius,AquariusSagittarius,90%,Good_fit
37,Scorpio,Scorpio,ScorpioScorpio,80%,Good_fit
38,Pisces,Capricorn,PiscesCapricorn,88%,Good_fit
39,Libra,Sagittarius,LibraSagittarius,73%,Good_fit
40,Aries,Cancer,AriesCancer,42%,Bad_fit
41,Capricorn,Pisces,CapricornPisces,88%,Good_fit
42,Cancer,Virgo,CancerVirgo,90%,Good_fit
43,Gemini,Scorpio,GeminiScorpio,28%,Bad_fit
44,Virgo,Virgo,VirgoVirgo,65%,Bad_fit
46,Aries,Libra,AriesLibra,85%,Good_fit
47,Pisces,Scorpio,PiscesScorpio,97%,Good_fit
48,Capricorn,Pisces,CapricornPisces,88%,Good_fit
