,Zod_sign_man,Zod_sign_woman,zod_combo,Compatibility_rate
0,Sagittarius,Leo,SagittariusLeo,0.93
2,Pisces,Aries,PiscesAries,0.67
4,Scorpio,Libra,ScorpioLibra,0.35
5,Aries,Gemini,AriesGemini,0.83
6,Sagittarius,Aries,SagittariusAries,0.93
7,Aquarius,Virgo,AquariusVirgo,0.3
8,Aquarius,Pisces,AquariusPisces,0.45
9,Scorpio,Pisces,ScorpioPisces,0.97
10,Aries,Aquarius,AriesAquarius,0.78
11,Scorpio,Taurus,ScorpioTaurus,0.88
12,Virgo,Aquarius,VirgoAquarius,0.3
13,Aquarius,Taurus,AquariusTaurus,0.58
14,Virgo,Aquarius,VirgoAquarius,0.3
15,Virgo,Taurus,VirgoTaurus,0.9
17,Aries,Libra,AriesLibra,0.85
18,Virgo,Gemini,VirgoGemini,0.68
19,Cancer,Pisces,CancerPisces,0.98
20,Pisces,Aries,PiscesAries,0.67
21,Leo,Scorpio,LeoScorpio,0.58
22,Pisces,Leo,PiscesLeo,0.38
24,Pisces,Cancer,PiscesCancer,0.98
25,Libra,Taurus,LibraTaurus,0.65
26,Taurus,Virgo,TaurusVirgo,0.9
27,Gemini,Leo,GeminiLeo,0.88
28,Virgo,Aries,VirgoAries,0.63
29,Gemini,Cancer,GeminiCancer,0.65
30,Libra,Gemini,LibraGemini,0.93
31,Virgo,Aquarius,VirgoAquarius,0.3
32,Leo,Aquarius,LeoAquarius,0.69
33,Virgo,Cancer,VirgoCancer,0.9
34,Sagittarius,Cancer,SagittariusCancer,0.53
35,Capricorn,Aquarius,CapricornAquarius,0.69
36,Aquarius,Sagittarius,AquariusSagittarius,0.9
37,Scorpio,Scorpio,ScorpioScorpio,0.8
38,Pisces,Capricorn,PiscesCapricorn,0.88
39,Libra,Sagittarius,LibraSagittarius,0.73
40,Aries,Cancer,AriesCancer,0.42
41,Capricorn,Pisces,CapricornPisces,0.88
42,Cancer,Virgo,CancerVirgo,0.9
43,Gemini,Scorpio,GeminiScorpio,0.28
44,Virgo,Virgo,VirgoVirgo,0.65
46,Aries,Libra,AriesLibra,0.85
47,Pisces,Scorpio,PiscesScorpio,0.97
48,Capricorn,Pisces,CapricornPisces,0.88
50,Aries,Gemini,AriesGemini,0.83
51,Leo,Virgo,LeoVirgo,0.35
52,Cancer,Aquarius,CancerAquarius,0.27
53,Virgo,Cancer,VirgoCancer,0.9
54,Gemini,Sagittarius,GeminiSagittarius,0.6
55,Sagittarius,Capricorn,SagittariusCapricorn,0.6
56,Aquarius,Cancer,AquariusCancer,0.27
57,Libra,Gemini,LibraGemini,0.93
58,Taurus,Pisces,TaurusPisces,0.85
59,Libra,Cancer,LibraCancer,0.43
62,Pisces,Capricorn,PiscesCapricorn,0.88
63,Aries,Aries,AriesAries,0.5
64,Leo,Taurus,LeoTaurus,0.73
65,Pisces,Gemini,PiscesGemini,0.53
68,Cancer,Sagittarius,CancerSagittarius,0.53
69,Aquarius,Pisces,AquariusPisces,0.45
71,Gemini,Taurus,GeminiTaurus,0.33
72,Aquarius,Aries,AquariusAries,0.78
73,Gemini,Taurus,GeminiTaurus,0.33
74,Aquarius,Pisces,AquariusPisces,0.45
75,Scorpio,Virgo,ScorpioVirgo,0.88
76,Gemini,Taurus,GeminiTaurus,0.33
77,Aries,Cancer,AriesCancer,0.42
78,Aquarius,Capricorn,AquariusCapricorn,0.69
79,Taurus,Libra,TaurusLibra,0.65
80,Leo,Virgo,LeoVirgo,0.35
81,Aquarius,Leo,AquariusLeo,0.68
82,Pisces,Cancer,PiscesCancer,0.98
83,Capricorn,Gemini,CapricornGemini,0.68
84,Pisces,Aries,PiscesAries,0.67
85,Capricorn,Pisces,CapricornPisces,0.88
87,Virgo,Scorpio,VirgoScorpio,0.88
88,Leo,Libra,LeoLibra,0.97
89,Sagittarius,Cancer,SagittariusCancer,0.53
