,Marriage_Date,DOB1,DOB2,divorce
0,2000-01-03,1974-08-20,1980-01-01,0.0
1,2000-01-05,1980-02-12,1981-12-12,0.0
2,2000-01-05,1978-11-26,1979-09-04,0.0
3,2000-01-06,1974-10-30,1978-12-04,1.0
4,2000-01-06,1937-03-13,1956-09-11,0.0
5,2000-01-07,1974-12-24,1977-01-07,1.0
6,2000-01-07,1976-05-17,1967-04-01,0.0
7,2000-01-07,1981-09-26,1977-12-27,0.0
8,2000-01-07,1974-12-10,1979-11-09,0.0
9,2000-01-08,1972-12-29,1972-05-27,0.0
10,2000-01-08,1978-06-21,1978-11-13,1.0
11,2000-01-08,1971-06-12,1969-08-20,0.0
12,2000-01-08,1962-02-23,1971-08-24,0.0
13,2000-01-10,1944-08-23,1974-08-22,1.0
14,2000-01-11,1978-09-08,1978-09-09,0.0
15,2000-01-11,1971-12-18,1969-03-12,0.0
16,2000-01-12,1975-02-18,1976-06-08,0.0
17,2000-01-13,1974-12-16,1980-12-09,0.0
18,2000-01-14,1973-10-09,1974-02-11,0.0
19,2000-01-14,1969-02-25,1974-03-19,0.0
20,2000-01-14,1968-12-08,1976-05-28,0.0
21,2000-01-15,1968-09-03,1970-05-11,0.0
22,2000-01-15,1972-02-02,1970-08-10,1.0
23,2000-01-15,1969-09-13,1976-07-25,0.0
24,2000-01-15,1969-11-04,1972-04-28,0.0
25,2000-01-15,1971-11-15,1972-12-11,0.0
26,2000-01-17,1976-09-13,1978-08-28,0.0
27,2000-01-17,1916-11-30,1939-02-15,0.0
28,2000-01-17,1970-09-27,1974-09-02,0.0
29,2000-01-17,1941-05-21,1940-04-25,0.0
30,2000-01-17,1971-09-13,1979-10-04,1.0
31,2000-01-18,1956-05-12,1958-06-15,0.0
32,2000-01-18,1975-01-28,1975-04-20,0.0
33,2000-01-19,1976-04-20,1974-11-09,0.0
34,2000-01-19,1972-03-31,1972-09-30,0.0
35,2000-01-20,1960-04-23,1967-07-21,0.0
36,2000-01-20,1978-08-12,1975-04-08,0.0
37,2000-01-20,1975-04-29,1974-08-05,0.0
38,2000-01-21,1969-02-26,1974-08-29,0.0
39,2000-01-21,1965-03-07,1978-01-12,0.0
40,2000-01-21,1974-01-13,1973-02-13,0.0
41,2000-01-21,1970-03-18,1971-01-01,0.0
42,2000-01-22,1969-05-08,1970-11-26,0.0
43,2000-01-24,1961-11-28,1960-12-05,0.0
44,2000-01-24,1971-06-23,1975-01-19,0.0
45,2000-01-25,1980-04-25,1974-12-04,0.0
46,2000-01-26,1970-01-31,1970-07-14,0.0
47,2000-01-26,1967-04-02,1973-12-15,0.0
48,2000-01-27,1972-07-04,1981-02-02,0.0
49,2000-01-27,1978-10-18,1983-03-07,0.0
50,2000-01-27,1973-11-28,1976-01-19,0.0
51,2000-01-27,1977-09-03,1977-07-17,0.0
52,2000-01-28,1979-04-11,1980-07-09,0.0
53,2000-01-28,1975-12-02,1977-04-18,0.0
54,2000-01-28,1981-05-12,1977-12-12,0.0
55,2000-01-28,1970-12-19,1974-01-13,1.0
56,2000-01-28,1982-01-21,1978-02-01,0.0
57,2000-01-29,1972-08-11,1971-10-12,0.0
58,2000-01-29,1972-04-23,1972-10-01,0.0
59,2000-01-29,1971-08-05,1973-03-04,0.0
60,2000-01-29,1971-02-02,1979-02-17,0.0
61,2000-01-31,1968-04-11,1968-10-12,0.0
62,2000-01-31,1969-07-08,1969-11-14,0.0
63,2000-01-31,1975-02-23,1975-05-10,0.0
64,2000-02-01,1932-08-07,1933-08-01,0.0
65,2000-02-01,1979-02-17,1981-02-22,0.0
66,2000-02-01,1967-02-18,1976-10-23,0.0
67,2000-02-01,1961-08-31,1985-02-13,0.0
68,2000-02-02,1973-11-15,1976-11-27,1.0
69,2000-02-02,1980-11-22,1978-09-20,0.0
70,2000-02-02,1969-06-04,1970-02-16,1.0
71,2000-02-02,1962-03-13,1967-09-11,0.0
72,2000-02-02,1968-03-17,1971-12-12,0.0
73,2000-02-02,1962-01-06,1968-05-31,0.0
74,2000-02-02,1974-09-14,1973-11-06,0.0
75,2000-02-03,1978-11-20,1969-06-08,0.0
76,2000-02-03,1971-09-22,1970-04-29,0.0
77,2000-02-03,1980-12-28,1977-01-05,0.0
78,2000-02-03,1959-05-14,1971-02-01,0.0
79,2000-02-04,1979-07-15,1976-04-02,0.0
80,2000-02-04,1975-12-17,1971-12-20,0.0
81,2000-02-04,1977-11-30,1981-10-12,0.0
82,2000-02-04,1975-04-10,1976-02-05,0.0
83,2000-02-04,1979-04-16,1980-04-28,1.0
84,2000-02-04,1978-03-11,1978-01-23,0.0
85,2000-02-04,1973-09-17,1977-10-10,0.0
86,2000-02-04,1980-08-19,1980-10-28,0.0
87,2000-02-04,1961-12-20,1963-09-24,0.0
88,2000-02-04,1974-10-10,1976-11-17,0.0
89,2000-02-05,1969-10-26,1974-02-05,0.0
90,2000-02-05,1972-06-15,1968-08-08,0.0
91,2000-02-05,1968-01-13,1972-07-09,0.0
92,2000-02-07,1931-11-11,1947-04-26,0.0
93,2000-02-07,1978-11-06,1981-01-21,0.0
94,2000-02-07,1981-07-02,1981-07-05,0.0
95,2000-02-08,1963-11-21,1970-03-12,0.0
96,2000-02-08,1975-06-01,1977-07-19,0.0
97,2000-02-08,1972-10-24,1980-05-19,0.0
98,2000-02-08,1967-11-25,1969-11-01,1.0
99,2000-02-09,1978-09-15,1978-02-02,0.0
100,2000-02-09,1949-06-30,1958-05-30,0.0
101,2000-02-09,1970-06-07,1965-11-08,0.0
102,2000-02-09,1977-12-25,1977-05-05,0.0
103,2000-02-09,1981-06-18,1983-11-05,0.0
104,2000-02-09,1959-09-13,1966-11-26,0.0
105,2000-02-10,1972-12-07,1977-01-14,0.0
106,2000-02-10,1976-12-29,1981-11-11,0.0
107,2000-02-10,1975-10-23,1978-08-12,0.0
108,2000-02-10,1969-01-02,1966-06-17,0.0
109,2000-02-10,1954-11-18,1971-05-02,0.0
110,2000-02-10,1981-01-25,1977-04-17,1.0
111,2000-02-10,1964-09-14,1967-02-26,0.0
112,2000-02-10,1966-09-28,1975-02-16,0.0
113,2000-02-10,1959-07-20,1961-10-20,0.0
114,2000-02-10,1981-01-03,1983-11-18,0.0
115,2000-02-10,1978-04-10,1971-01-16,0.0
116,2000-02-10,1981-09-24,1975-05-06,0.0
117,2000-02-10,1968-04-03,1968-06-06,0.0
118,2000-02-10,1960-03-13,1961-06-17,0.0
119,2000-02-10,1941-04-25,1941-08-22,0.0
120,2000-02-10,1974-05-27,1977-03-05,0.0
121,2000-02-10,1974-03-10,1977-12-29,0.0
122,2000-02-10,1967-06-24,1970-04-25,0.0
123,2000-02-10,1977-12-23,1981-12-19,0.0
124,2000-02-10,1961-01-09,1980-09-11,0.0
125,2000-02-10,1978-05-20,1975-04-24,0.0
126,2000-02-10,1978-12-04,1979-06-04,0.0
127,2000-02-10,1966-12-01,1970-12-27,0.0
128,2000-02-10,1976-04-26,1977-11-21,0.0
129,2000-02-10,1969-11-10,1974-07-24,0.0
130,2000-02-10,1978-02-10,1979-10-01,0.0
131,2000-02-10,1978-11-16,1982-05-23,0.0
132,2000-02-10,1968-01-13,1966-12-19,0.0
133,2000-02-10,1980-11-09,1981-01-30,1.0
134,2000-02-10,1962-08-22,1967-08-10,0.0
135,2000-02-10,1959-10-21,1967-09-13,0.0
136,2000-02-10,1964-10-20,1975-07-03,0.0
137,2000-02-10,1978-06-01,1979-08-15,0.0
138,2000-02-10,1967-01-04,1972-08-03,0.0
139,2000-02-10,1961-10-15,1956-12-08,0.0
140,2000-02-10,1978-11-02,1976-04-03,0.0
141,2000-02-10,1948-08-25,1952-11-02,0.0
142,2000-02-10,1978-02-17,1976-08-13,0.0
143,2000-02-10,1962-10-01,1956-10-04,1.0
144,2000-02-10,1972-10-08,1970-05-06,0.0
145,2000-02-10,1967-08-16,1970-05-29,0.0
146,2000-02-10,1972-06-08,1971-02-11,0.0
147,2000-02-10,1970-07-05,1977-02-27,0.0
148,2000-02-10,1981-11-01,1977-04-03,0.0
149,2000-02-10,1963-08-25,1972-10-06,0.0
150,2000-02-10,1956-07-06,1962-01-13,0.0
151,2000-02-10,1967-02-12,1974-06-18,0.0
152,2000-02-10,1977-01-20,1980-09-06,0.0
153,2000-02-10,1974-01-04,1974-08-10,0.0
154,2000-02-10,1967-08-23,1970-02-13,0.0
155,2000-02-10,1973-12-16,1978-08-19,0.0
156,2000-02-10,1963-11-27,1961-11-17,0.0
157,2000-02-10,1973-02-26,1973-11-10,0.0
158,2000-02-10,1942-05-16,1942-08-25,0.0
159,2000-02-10,1972-01-10,1976-05-21,0.0
160,2000-02-10,1977-06-16,1978-09-26,0.0
161,2000-02-10,1954-01-16,1962-06-20,0.0
162,2000-02-10,1948-08-10,1948-09-16,0.0
163,2000-02-10,1971-12-04,1977-01-05,0.0
164,2000-02-10,1943-04-23,1967-05-06,0.0
165,2000-02-10,1968-05-21,1971-12-28,0.0
166,2000-02-10,1969-08-06,1976-08-30,0.0
167,2000-02-10,1975-02-22,1977-04-24,0.0
168,2000-02-10,1975-07-14,1975-10-06,0.0
169,2000-02-10,1977-01-10,1983-05-17,0.0
170,2000-02-10,1975-05-24,1977-02-17,0.0
171,2000-02-10,1976-07-22,1979-08-18,0.0
172,2000-02-10,1977-03-18,1979-08-05,0.0
173,2000-02-10,1972-04-09,1967-07-03,0.0
174,2000-02-10,1976-03-23,1973-09-06,0.0
175,2000-02-10,1978-11-10,1980-07-20,1.0
176,2000-02-10,1962-09-05,1962-11-17,0.0
177,2000-02-10,1973-04-21,1976-09-08,0.0
178,2000-02-10,1977-05-06,1976-10-03,0.0
179,2000-02-10,1978-03-10,1974-01-21,0.0
180,2000-02-10,1965-09-10,1971-04-03,0.0
181,2000-02-10,1979-05-27,1972-06-16,0.0
182,2000-02-10,1982-02-27,1982-09-25,0.0
183,2000-02-10,1977-07-29,1979-03-19,0.0
184,2000-02-10,1961-12-24,1958-03-03,0.0
185,2000-02-10,1975-01-08,1974-11-23,1.0
186,2000-02-10,1974-04-03,1974-08-31,0.0
187,2000-02-10,1973-12-26,1974-05-22,1.0
188,2000-02-10,1977-11-16,1976-05-05,0.0
189,2000-02-10,1980-12-07,1974-10-06,0.0
190,2000-02-10,1970-09-04,1970-06-28,0.0
191,2000-02-10,1979-10-03,1979-04-26,0.0
192,2000-02-10,1972-06-18,1977-03-20,0.0
193,2000-02-10,1964-07-12,1968-09-23,0.0
194,2000-02-10,1955-09-14,1969-04-17,0.0
195,2000-02-10,1952-04-06,1960-07-29,0.0
196,2000-02-10,1947-10-04,1963-04-26,0.0
197,2000-02-10,1979-10-21,1977-06-19,0.0
198,2000-02-10,1981-09-08,1979-07-24,0.0
199,2000-02-10,1977-09-01,1980-05-12,0.0
200,2000-02-10,1971-08-01,1962-03-26,0.0
201,2000-02-10,1979-09-27,1981-09-19,0.0
202,2000-02-10,1977-04-08,1978-03-24,1.0
203,2000-02-10,1964-02-26,1979-05-10,1.0
204,2000-02-11,1971-07-17,1982-01-16,0.0
205,2000-02-11,1967-06-29,1977-08-02,0.0
206,2000-02-11,1976-03-25,1973-04-17,1.0
207,2000-02-11,1977-09-16,1971-10-10,0.0
208,2000-02-11,1941-11-05,1942-06-03,0.0
209,2000-02-11,1978-02-05,1978-06-30,1.0
210,2000-02-11,1969-02-28,1977-06-18,0.0
211,2000-02-11,1974-08-11,1978-09-28,0.0
212,2000-02-11,1960-08-16,1968-10-16,0.0
213,2000-02-11,1956-10-18,1966-09-23,0.0
214,2000-02-11,1963-03-08,1972-04-10,0.0
215,2000-02-11,1974-07-31,1978-10-18,0.0
216,2000-02-11,1972-12-03,1972-11-13,0.0
217,2000-02-11,1981-04-01,1982-01-08,0.0
218,2000-02-11,1981-01-27,1984-12-07,0.0
219,2000-02-11,1958-05-31,1967-05-14,0.0
220,2000-02-11,1976-06-08,1974-04-13,0.0
221,2000-02-11,1969-07-27,1974-01-25,0.0
222,2000-02-11,1967-01-20,1968-07-09,0.0
