,Zod_sign_man,Zod_sign_woman
0,Sagittarius,Leo
2,Pisces,Aries
4,Scorpio,Libra
5,Aries,Gemini
6,Sagittarius,Aries
7,Aquarius,Virgo
8,Aquarius,Pisces
9,Scorpio,Pisces
10,Aries,Aquarius
11,Scorpio,Taurus
12,Virgo,Aquarius
13,Aquarius,Taurus
14,Virgo,Aquarius
15,Virgo,Taurus
17,Aries,Libra
18,Virgo,Gemini
19,Cancer,Pisces
20,Pisces,Aries
21,Leo,Scorpio
22,Pisces,Leo
24,Pisces,Cancer
25,Libra,Taurus
26,Taurus,Virgo
27,Gemini,Leo
28,Virgo,Aries
29,Gemini,Cancer
30,Libra,Gemini
31,Virgo,Aquarius
32,Leo,Aquarius
33,Virgo,Cancer
34,Sagittarius,Cancer
35,Capricorn,Aquarius
36,Aquarius,Sagittarius
37,Scorpio,Scorpio
38,Pisces,Capricorn
39,Libra,Sagittarius
40,Aries,Cancer
41,Capricorn,Pisces
42,Cancer,Virgo
43,Gemini,Scorpio
44,Virgo,Virgo
46,Aries,Libra
47,Pisces,Scorpio
48,Capricorn,Pisces
50,Aries,Gemini
51,Leo,Virgo
52,Cancer,Aquarius
53,Virgo,Cancer
54,Gemini,Sagittarius
55,Sagittarius,Capricorn
56,Aquarius,Cancer
57,Libra,Gemini
58,Taurus,Pisces
59,Libra,Cancer
62,Pisces,Capricorn
63,Aries,Aries
64,Leo,Taurus
65,Pisces,Gemini
68,Cancer,Sagittarius
69,Aquarius,Pisces
71,Gemini,Taurus
72,Aquarius,Aries
73,Gemini,Taurus
74,Aquarius,Pisces
75,Scorpio,Virgo
76,Gemini,Taurus
77,Aries,Cancer
78,Aquarius,Capricorn
79,Taurus,Libra
80,Leo,Virgo
81,Aquarius,Leo
82,Pisces,Cancer
83,Capricorn,Gemini
84,Pisces,Aries
85,Capricorn,Pisces
87,Virgo,Scorpio
88,Leo,Libra
89,Sagittarius,Cancer
90,Leo,Gemini
91,Aries,Sagittarius
92,Sagittarius,Sagittarius
93,Gemini,Cancer
94,Virgo,Aries
95,Aquarius,Aries
96,Scorpio,Scorpio
97,Sagittarius,Cancer
98,Aquarius,Virgo
99,Virgo,Cancer
100,Aquarius,Pisces
101,Sagittarius,Gemini
102,Leo,Aries
103,Gemini,Virgo
106,Pisces,Sagittarius
107,Scorpio,Taurus
108,Cancer,Scorpio
109,Libra,Virgo
110,Pisces,Aries
111,Sagittarius,Sagittarius
112,Cancer,Cancer
113,Libra,Sagittarius
114,Leo,Scorpio
115,Taurus,Scorpio
116,Aries,Gemini
117,Taurus,Leo
118,Sagittarius,Sagittarius
119,Sagittarius,Pisces
120,Leo,Sagittarius
121,Virgo,Aries
122,Pisces,Libra
123,Taurus,Leo
124,Sagittarius,Sagittarius
125,Aries,Pisces
126,Gemini,Aquarius
127,Gemini,Aquarius
128,Sagittarius,Virgo
130,Aries,Libra
131,Libra,Cancer
133,Pisces,Sagittarius
134,Sagittarius,Cancer
135,Scorpio,Taurus
136,Cancer,Sagittarius
137,Virgo,Virgo
138,Aquarius,Scorpio
139,Aquarius,Virgo
140,Taurus,Taurus
141,Taurus,Aquarius
143,Leo,Aries
144,Sagittarius,Virgo
147,Scorpio,Capricorn
148,Aries,Aquarius
149,Cancer,Leo
150,Gemini,Leo
151,Aquarius,Aries
153,Virgo,Aries
154,Capricorn,Aquarius
155,Pisces,Libra
156,Pisces,Aries
157,Leo,Libra
159,Sagittarius,Virgo
160,Aquarius,Leo
161,Aries,Gemini
162,Aries,Leo
163,Aquarius,Scorpio
164,Leo,Gemini
165,Scorpio,Leo
167,Libra,Libra
168,Leo,Gemini
169,Sagittarius,Aries
170,Pisces,Sagittarius
171,Taurus,Gemini
172,Cancer,Aquarius
173,Aquarius,Taurus
174,Aquarius,Capricorn
177,Sagittarius,Libra
178,Libra,Sagittarius
180,Libra,Libra
181,Scorpio,Leo
182,Cancer,Libra
184,Virgo,Sagittarius
185,Aquarius,Pisces
187,Gemini,Aries
188,Taurus,Taurus
189,Sagittarius,Scorpio
190,Pisces,Sagittarius
191,Virgo,Leo
192,Leo,Virgo
193,Gemini,Sagittarius
194,Sagittarius,Scorpio
195,Sagittarius,Aries
196,Gemini,Scorpio
197,Scorpio,Pisces
198,Gemini,Sagittarius
199,Pisces,Virgo
200,Scorpio,Leo
201,Taurus,Gemini
203,Taurus,Aries
204,Aries,Cancer
205,Aquarius,Aries
206,Taurus,Aquarius
207,Leo,Sagittarius
208,Scorpio,Aquarius
210,Virgo,Libra
211,Scorpio,Taurus
212,Gemini,Leo
213,Aquarius,Capricorn
214,Taurus,Aries
215,Capricorn,Scorpio
216,Leo,Scorpio
217,Aquarius,Virgo
218,Aquarius,Aquarius
219,Cancer,Sagittarius
220,Libra,Virgo
221,Leo,Gemini
223,Sagittarius,Leo
225,Gemini,Virgo
226,Aries,Aquarius
227,Cancer,Sagittarius
228,Aquarius,Leo
229,Cancer,Sagittarius
230,Taurus,Leo
231,Aries,Virgo
232,Aries,Virgo
233,Pisces,Aries
234,Gemini,Pisces
235,Libra,Scorpio
236,Gemini,Virgo
239,Aries,Scorpio
241,Libra,Scorpio
242,Libra,Aquarius
243,Capricorn,Aries
244,Gemini,Capricorn
245,Cancer,Sagittarius
246,Gemini,Pisces
248,Capricorn,Pisces
249,Virgo,Gemini
250,Cancer,Aquarius
251,Aquarius,Libra
253,Libra,Scorpio
254,Taurus,Aquarius
255,Leo,Aquarius
256,Cancer,Taurus
257,Taurus,Gemini
258,Capricorn,Aries
259,Scorpio,Aries
260,Scorpio,Pisces
261,Capricorn,Scorpio
262,Taurus,Capricorn
263,Libra,Virgo
264,Taurus,Capricorn
265,Cancer,Pisces
266,Gemini,Aries
267,Libra,Gemini
268,Sagittarius,Aries
269,Leo,Gemini
270,Cancer,Sagittarius
271,Virgo,Aries
272,Libra,Libra
273,Leo,Scorpio
274,Aries,Libra
275,Leo,Libra
276,Scorpio,Cancer
277,Cancer,Cancer
278,Virgo,Scorpio
279,Sagittarius,Sagittarius
280,Cancer,Gemini
281,Taurus,Capricorn
282,Taurus,Libra
284,Scorpio,Scorpio
285,Aries,Leo
286,Gemini,Taurus
287,Scorpio,Capricorn
288,Cancer,Pisces
289,Virgo,Pisces
290,Virgo,Virgo
291,Scorpio,Aries
292,Leo,Leo
293,Virgo,Gemini
294,Aries,Pisces
296,Leo,Libra
297,Scorpio,Taurus
298,Cancer,Scorpio
299,Aquarius,Virgo
300,Taurus,Sagittarius
301,Sagittarius,Cancer
302,Virgo,Libra
303,Leo,Gemini
304,Virgo,Aquarius
305,Libra,Pisces
306,Sagittarius,Aquarius
310,Aquarius,Gemini
311,Sagittarius,Taurus
312,Leo,Leo
313,Virgo,Aries
314,Virgo,Taurus
315,Libra,Cancer
316,Libra,Aries
317,Leo,Taurus
318,Libra,Scorpio
319,Sagittarius,Taurus
320,Capricorn,Pisces
322,Capricorn,Leo
323,Aries,Leo
324,Libra,Leo
325,Pisces,Libra
326,Aries,Leo
327,Taurus,Cancer
328,Taurus,Virgo
329,Scorpio,Leo
330,Leo,Aquarius
331,Pisces,Libra
332,Gemini,Scorpio
333,Scorpio,Sagittarius
334,Scorpio,Gemini
335,Taurus,Capricorn
336,Virgo,Aquarius
337,Pisces,Libra
338,Sagittarius,Capricorn
339,Pisces,Aquarius
340,Virgo,Leo
341,Scorpio,Scorpio
342,Scorpio,Cancer
343,Sagittarius,Aries
344,Aquarius,Sagittarius
345,Scorpio,Sagittarius
346,Gemini,Sagittarius
347,Cancer,Cancer
348,Libra,Taurus
349,Gemini,Pisces
350,Pisces,Cancer
351,Aries,Cancer
352,Scorpio,Gemini
353,Sagittarius,Cancer
354,Libra,Aries
355,Virgo,Taurus
356,Gemini,Aries
357,Leo,Capricorn
358,Virgo,Pisces
359,Cancer,Aries
360,Libra,Gemini
361,Capricorn,Taurus
362,Aquarius,Leo
363,Gemini,Leo
364,Virgo,Aquarius
365,Sagittarius,Cancer
366,Libra,Aquarius
367,Aries,Aquarius
368,Scorpio,Aquarius
369,Scorpio,Virgo
370,Sagittarius,Cancer
371,Taurus,Virgo
372,Pisces,Virgo
373,Scorpio,Virgo
374,Sagittarius,Leo
375,Aries,Libra
376,Taurus,Pisces
377,Taurus,Leo
379,Taurus,Libra
380,Aquarius,Libra
381,Taurus,Cancer
382,Aquarius,Aquarius
383,Capricorn,Aries
384,Scorpio,Pisces
385,Aries,Gemini
386,Taurus,Capricorn
387,Libra,Scorpio
388,Pisces,Taurus
390,Sagittarius,Virgo
391,Aries,Aquarius
392,Taurus,Aries
393,Aquarius,Aquarius
394,Capricorn,Sagittarius
395,Gemini,Libra
396,Libra,Capricorn
397,Sagittarius,Aries
398,Libra,Cancer
399,Taurus,Aries
400,Aries,Gemini
404,Leo,Virgo
405,Aries,Capricorn
406,Aries,Cancer
407,Libra,Pisces
408,Pisces,Aries
409,Leo,Pisces
410,Aquarius,Pisces
411,Libra,Gemini
412,Aries,Taurus
413,Aquarius,Gemini
414,Pisces,Cancer
415,Capricorn,Sagittarius
416,Aquarius,Libra
417,Scorpio,Pisces
418,Pisces,Pisces
419,Taurus,Sagittarius
420,Leo,Capricorn
422,Cancer,Taurus
423,Taurus,Libra
424,Libra,Sagittarius
425,Leo,Pisces
426,Sagittarius,Scorpio
427,Aries,Leo
428,Cancer,Gemini
429,Virgo,Aries
430,Aries,Capricorn
431,Gemini,Libra
432,Leo,Pisces
433,Aquarius,Sagittarius
434,Scorpio,Sagittarius
435,Capricorn,Leo
436,Sagittarius,Taurus
437,Cancer,Cancer
438,Pisces,Aries
440,Sagittarius,Cancer
441,Leo,Aquarius
442,Scorpio,Sagittarius
443,Virgo,Aries
444,Aries,Cancer
445,Gemini,Aries
447,Taurus,Pisces
448,Virgo,Virgo
449,Gemini,Sagittarius
450,Aries,Taurus
451,Gemini,Taurus
452,Leo,Aquarius
453,Virgo,Capricorn
454,Scorpio,Cancer
455,Scorpio,Leo
456,Pisces,Taurus
457,Cancer,Taurus
458,Sagittarius,Leo
459,Capricorn,Taurus
461,Aquarius,Pisces
462,Pisces,Taurus
463,Scorpio,Taurus
464,Libra,Virgo
465,Taurus,Libra
466,Aries,Aquarius
467,Taurus,Capricorn
468,Taurus,Taurus
469,Aquarius,Cancer
470,Cancer,Aquarius
471,Aquarius,Aries
473,Pisces,Leo
474,Libra,Aries
475,Pisces,Pisces
476,Sagittarius,Aries
477,Libra,Aquarius
478,Aquarius,Aries
479,Gemini,Pisces
480,Libra,Virgo
481,Leo,Virgo
482,Libra,Leo
483,Pisces,Taurus
484,Cancer,Capricorn
485,Gemini,Virgo
486,Gemini,Leo
487,Libra,Libra
488,Pisces,Aries
489,Pisces,Gemini
490,Capricorn,Scorpio
491,Taurus,Libra
492,Cancer,Leo
493,Virgo,Capricorn
494,Sagittarius,Aries
497,Pisces,Capricorn
499,Scorpio,Aries
500,Virgo,Aquarius
501,Cancer,Capricorn
503,Capricorn,Capricorn
504,Taurus,Aries
